                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.72426,                 0.6291,                 1.0095,                0.91965,                0.89941,                0.95487,                0.80463,                0.62516,                0.46465,                0.95271,               0.006436,               0.006436,               0.006436
                     38,                0.71973,                0.62163,                 1.0111,                0.91815,                0.91241,                0.96375,                0.83321,                0.57456,                0.43981,                0.92856,               0.006337,               0.006337,               0.006337
                     39,                0.71434,                0.61819,                 1.0098,                0.92939,                0.90341,                0.96382,                0.83937,                0.55501,                0.42403,                0.91896,               0.006238,               0.006238,               0.006238
                     40,                0.71948,                0.61105,                 1.0105,                0.91354,                 0.8938,                0.95306,                 0.8236,                 0.5736,                0.45834,                0.92685,               0.006139,               0.006139,               0.006139
                     41,                0.70886,                0.60428,                 1.0043,                0.92742,                0.91314,                0.96281,                0.83404,                0.56992,                 0.4385,                0.92035,                0.00604,                0.00604,                0.00604
                     42,                0.70494,                0.59975,                 1.0003,                0.94702,                0.92067,                0.97141,                0.84849,                0.55061,                0.39527,                0.91567,               0.005941,               0.005941,               0.005941
                     43,                0.70466,                0.58994,                  1.001,                0.92019,                0.91462,                0.96735,                0.84285,                 0.5653,                0.42218,                0.91948,               0.005842,               0.005842,               0.005842
                     44,                0.70494,                0.58819,                 1.0001,                0.94611,                0.92577,                0.97347,                0.84688,                0.56826,                0.39798,                0.92175,               0.005743,               0.005743,               0.005743
                     45,                0.69232,                0.57581,                0.99782,                0.93805,                0.91927,                0.96839,                 0.8467,                0.55183,                0.40671,                0.91063,               0.005644,               0.005644,               0.005644
                     46,                0.68634,                0.57226,                0.99299,                0.94088,                0.91885,                0.96971,                0.85038,                0.54553,                0.40565,                0.91159,               0.005545,               0.005545,               0.005545
                     47,                0.69818,                 0.5735,                 1.0006,                0.94751,                0.92507,                0.97507,                0.85764,                0.54003,                0.38362,                0.91038,               0.005446,               0.005446,               0.005446
