,folder,number_of_images,model,mean,sd
81,14_classes,10.0,yolov8m,0.6849999999999999,0.18949802109784675
82,14_classes,10.0,yolov8n,0.8779999999999999,0.2478810198462158
83,14_classes,10.0,yolov8s,0.8667999999999999,0.25258305564704847
84,14_classes,10.0,yolov8x,0.52,0.17880576053360248
85,14_classes,20.0,yolov8l,0.627,0.09526804291051642
86,14_classes,20.0,yolov8m,0.7756000000000001,0.219509225318664
87,14_classes,20.0,yolov8n,0.7971999999999999,0.10841909425926782
88,14_classes,20.0,yolov8s,0.7836000000000001,0.142482630520355
89,14_classes,20.0,yolov8x,0.5866,0.11318038699350695
90,14_classes,50.0,yolov8l,0.5631999999999999,0.09941176992690552
91,14_classes,50.0,yolov8m,0.7574,0.06264423357341042
92,14_classes,50.0,yolov8n,0.7488,0.056530522728876265
93,14_classes,50.0,yolov8s,0.725,0.0861945473913518
94,14_classes,50.0,yolov8x,0.49660000000000004,0.11029415215685733
95,14_classes,100.0,yolov8l,0.9682000000000001,0.05115857699350127
96,14_classes,100.0,yolov8m,0.7836000000000001,0.05809733212463373
97,14_classes,100.0,yolov8n,0.9478,0.08612607038522073
98,14_classes,100.0,yolov8s,0.9496,0.06960100573985986
99,14_classes,100.0,yolov8x,0.9658,0.05427890934792263
100,14_classes,250.0,yolov8l,0.969,0.030903074280724904
101,14_classes,250.0,yolov8m,0.9827999999999999,0.025606639763936196
102,14_classes,250.0,yolov8n,0.9084,0.04070380817564864
103,14_classes,250.0,yolov8s,0.9204000000000001,0.02675443888404316
104,14_classes,250.0,yolov8x,0.9224,0.029449957555147704
105,14_classes,500.0,yolov8l,0.9583999999999999,0.011674759098157041
106,14_classes,500.0,yolov8m,0.9719999999999999,0.005147815070493546
107,14_classes,500.0,yolov8n,0.9312000000000001,0.012296340919151513
108,14_classes,500.0,yolov8s,0.9408,0.016798809481626917
109,14_classes,500.0,yolov8x,0.9746,0.03236201477040642
110,14_classes,750.0,yolov8l,0.9928000000000001,0.004919349550499491
111,14_classes,750.0,yolov8m,0.9488,0.03305601306872925
112,14_classes,750.0,yolov8n,0.8926000000000001,0.056998245587035354
113,14_classes,750.0,yolov8s,0.9916,0.005504543577809158
114,14_classes,750.0,yolov8x,0.9936,0.0026076809620810657
115,14_classes,1000.0,yolov8l,0.9907999999999999,0.001788854381999793
116,14_classes,1000.0,yolov8m,0.9696,0.005504543577809153
117,14_classes,1000.0,yolov8n,0.9916,0.0048785243670601735
