number_of_images,model,fold,mAP,folder
100,yolov8n,3,0.689,10_classes_a
100,yolov8n,4,0.774,10_classes_a
100,yolov8n,5,0.764,10_classes_a
100,yolov8s,1,0.708,10_classes_a
100,yolov8s,2,0.783,10_classes_a
100,yolov8s,3,0.805,10_classes_a
100,yolov8s,4,0.887,10_classes_a
100,yolov8s,5,0.857,10_classes_a
100,yolov8m,1,0.616,10_classes_a
100,yolov8m,2,0.753,10_classes_a
100,yolov8m,3,0.688,10_classes_a
100,yolov8m,4,0.802,10_classes_a
100,yolov8m,5,0.848,10_classes_a
100,yolov8l,1,0.828,10_classes_a
100,yolov8l,2,0.979,10_classes_a
100,yolov8l,3,0.978,10_classes_a
100,yolov8l,4,0.985,10_classes_a
100,yolov8l,5,0.99,10_classes_a
100,yolov8x,1,0.433,10_classes_a
100,yolov8x,2,0.789,10_classes_a
100,yolov8x,3,0.917,10_classes_a
100,yolov8x,4,0.938,10_classes_a
100,yolov8x,5,0.949,10_classes_a
250,yolov8n,1,0.921,10_classes_a
250,yolov8n,2,0.99,10_classes_a
250,yolov8n,3,0.993,10_classes_a
250,yolov8n,4,0.99,10_classes_a
250,yolov8n,5,0.988,10_classes_a
250,yolov8s,1,0.948,10_classes_a
250,yolov8s,2,0.995,10_classes_a
250,yolov8s,3,0.995,10_classes_a
250,yolov8s,4,0.994,10_classes_a
250,yolov8s,5,0.994,10_classes_a
250,yolov8m,1,0.923,10_classes_a
250,yolov8m,2,0.991,10_classes_a
250,yolov8m,3,0.995,10_classes_a
250,yolov8m,4,0.992,10_classes_a
250,yolov8m,5,0.991,10_classes_a
250,yolov8l,1,0.892,10_classes_a
250,yolov8l,2,0.883,10_classes_a
250,yolov8l,3,0.918,10_classes_a
250,yolov8l,4,0.907,10_classes_a
250,yolov8l,5,0.913,10_classes_a
250,yolov8x,1,0.868,10_classes_a
250,yolov8x,2,0.87,10_classes_a
250,yolov8x,3,0.831,10_classes_a
250,yolov8x,4,0.889,10_classes_a
250,yolov8x,5,0.854,10_classes_a
500,yolov8n,1,0.955,10_classes_a
500,yolov8n,2,0.966,10_classes_a
500,yolov8n,3,0.966,10_classes_a
500,yolov8n,4,0.962,10_classes_a
500,yolov8n,5,0.96,10_classes_a
500,yolov8s,1,0.96,10_classes_a
500,yolov8s,2,0.957,10_classes_a
500,yolov8s,3,0.979,10_classes_a
500,yolov8s,4,0.971,10_classes_a
500,yolov8s,5,0.979,10_classes_a
500,yolov8m,1,0.955,10_classes_a
500,yolov8m,2,0.971,10_classes_a
500,yolov8m,3,0.972,10_classes_a
500,yolov8m,4,0.976,10_classes_a
500,yolov8m,5,0.972,10_classes_a
500,yolov8l,1,0.898,10_classes_a
500,yolov8l,2,0.938,10_classes_a
500,yolov8l,3,0.918,10_classes_a
500,yolov8l,4,0.935,10_classes_a
500,yolov8l,5,0.939,10_classes_a
500,yolov8x,1,0.843,10_classes_a
500,yolov8x,2,0.908,10_classes_a
500,yolov8x,3,0.879,10_classes_a
500,yolov8x,4,0.936,10_classes_a
500,yolov8x,5,0.903,10_classes_a
750,yolov8n,1,0.968,10_classes_a
750,yolov8n,2,0.972,10_classes_a
750,yolov8n,3,0.976,10_classes_a
750,yolov8n,4,0.964,10_classes_a
750,yolov8n,5,0.974,10_classes_a
750,yolov8s,1,0.972,10_classes_a
750,yolov8s,2,0.973,10_classes_a
750,yolov8s,3,0.981,10_classes_a
750,yolov8s,4,0.985,10_classes_a
750,yolov8s,5,0.983,10_classes_a
750,yolov8m,1,0.967,10_classes_a
750,yolov8m,2,0.977,10_classes_a
750,yolov8m,3,0.981,10_classes_a
750,yolov8m,4,0.979,10_classes_a
750,yolov8m,5,0.986,10_classes_a
750,yolov8l,1,0.92,10_classes_a
750,yolov8l,2,0.912,10_classes_a
750,yolov8l,3,0.928,10_classes_a
750,yolov8l,4,0.937,10_classes_a
750,yolov8l,5,0.952,10_classes_a
750,yolov8x,1,0.981,10_classes_a
750,yolov8x,2,0.995,10_classes_a
750,yolov8x,3,0.995,10_classes_a
750,yolov8x,4,0.995,10_classes_a
750,yolov8x,5,0.994,10_classes_a
1000,yolov8n,1,0.934,10_classes_a
1000,yolov8n,2,0.904,10_classes_a
1000,yolov8n,3,0.941,10_classes_a
1000,yolov8n,4,0.916,10_classes_a
1000,yolov8n,5,0.978,10_classes_a
1000,yolov8s,1,0.986,10_classes_a
1000,yolov8s,2,0.995,10_classes_a
1000,yolov8s,3,0.995,10_classes_a
1000,yolov8s,4,0.995,10_classes_a
1000,yolov8s,5,0.995,10_classes_a
1000,yolov8m,1,0.99,10_classes_a
1000,yolov8m,2,0.995,10_classes_a
1000,yolov8m,3,0.995,10_classes_a
1000,yolov8m,4,0.995,10_classes_a
1000,yolov8m,5,0.995,10_classes_a
1000,yolov8l,1,0.987,10_classes_a
1000,yolov8l,2,0.995,10_classes_a
1000,yolov8l,3,0.995,10_classes_a
1000,yolov8l,4,0.995,10_classes_a
1000,yolov8l,5,0.995,10_classes_a
1000,yolov8x,1,0.952,10_classes_a
1000,yolov8x,2,0.987,10_classes_a
1000,yolov8x,3,0.995,10_classes_a
1000,yolov8x,4,0.995,10_classes_a
1000,yolov8x,5,0.995,10_classes_a
10,yolov8n,1,0.379,10_classes_b
10,yolov8n,2,0.964,10_classes_b
10,yolov8n,3,0.97,10_classes_b
10,yolov8n,4,0.956,10_classes_b
10,yolov8n,5,0.987,10_classes_b
10,yolov8s,1,0.362,10_classes_b
10,yolov8s,2,0.934,10_classes_b
10,yolov8s,3,0.945,10_classes_b
10,yolov8s,4,0.939,10_classes_b
10,yolov8s,5,0.995,10_classes_b
10,yolov8m,1,0.339,10_classes_b
10,yolov8m,2,0.786,10_classes_b
10,yolov8m,3,0.929,10_classes_b
10,yolov8m,4,0.995,10_classes_b
10,yolov8m,5,0.995,10_classes_b
10,yolov8l,1,0.372,10_classes_b
10,yolov8l,2,0.612,10_classes_b
10,yolov8l,3,0.658,10_classes_b
10,yolov8l,4,0.754,10_classes_b
10,yolov8l,5,0.937,10_classes_b
10,yolov8x,1,0.296,10_classes_b
10,yolov8x,2,0.689,10_classes_b
10,yolov8x,3,0.796,10_classes_b
10,yolov8x,4,0.879,10_classes_b
10,yolov8x,5,0.945,10_classes_b
20,yolov8n,1,0.567,10_classes_b
20,yolov8n,2,0.829,10_classes_b
20,yolov8n,3,0.904,10_classes_b
20,yolov8n,4,0.992,10_classes_b
20,yolov8n,5,0.976,10_classes_b
20,yolov8s,1,0.535,10_classes_b
20,yolov8s,2,0.767,10_classes_b
20,yolov8s,3,0.848,10_classes_b
20,yolov8s,4,0.853,10_classes_b
20,yolov8s,5,0.894,10_classes_b
20,yolov8m,1,0.585,10_classes_b
20,yolov8m,2,0.757,10_classes_b
20,yolov8m,3,0.851,10_classes_b
20,yolov8m,4,0.818,10_classes_b
20,yolov8m,5,0.806,10_classes_b
20,yolov8l,1,0.458,10_classes_b
20,yolov8l,2,0.478,10_classes_b
20,yolov8l,3,0.705,10_classes_b
20,yolov8l,4,0.617,10_classes_b
20,yolov8l,5,0.587,10_classes_b
20,yolov8x,1,0.637,10_classes_b
20,yolov8x,2,0.698,10_classes_b
20,yolov8x,3,0.806,10_classes_b
20,yolov8x,4,0.792,10_classes_b
20,yolov8x,5,0.845,10_classes_b
50,yolov8n,1,0.706,10_classes_b
50,yolov8n,2,0.825,10_classes_b
50,yolov8n,3,0.789,10_classes_b
50,yolov8n,4,0.862,10_classes_b
50,yolov8n,5,0.885,10_classes_b
50,yolov8s,1,0.703,10_classes_b
50,yolov8s,2,0.788,10_classes_b
50,yolov8s,3,0.827,10_classes_b
50,yolov8s,4,0.865,10_classes_b
50,yolov8s,5,0.919,10_classes_b
50,yolov8m,1,0.685,10_classes_b
50,yolov8m,2,0.609,10_classes_b
50,yolov8m,3,0.659,10_classes_b
50,yolov8m,4,0.786,10_classes_b
50,yolov8m,5,0.756,10_classes_b
50,yolov8l,1,0.452,10_classes_b
50,yolov8l,2,0.445,10_classes_b
50,yolov8l,3,0.45,10_classes_b
50,yolov8l,4,0.611,10_classes_b
50,yolov8l,5,0.536,10_classes_b
50,yolov8x,1,0.589,10_classes_b
50,yolov8x,2,0.522,10_classes_b
50,yolov8x,3,0.565,10_classes_b
50,yolov8x,4,0.808,10_classes_b
50,yolov8x,5,0.754,10_classes_b
100,yolov8n,1,0.736,10_classes_b
100,yolov8n,2,0.792,10_classes_b
100,yolov8n,3,0.735,10_classes_b
100,yolov8n,4,0.748,10_classes_b
100,yolov8n,5,0.84,10_classes_b
100,yolov8s,1,0.744,10_classes_b
100,yolov8s,2,0.802,10_classes_b
100,yolov8s,3,0.803,10_classes_b
100,yolov8s,4,0.818,10_classes_b
100,yolov8s,5,0.877,10_classes_b
100,yolov8m,1,0.695,10_classes_b
100,yolov8m,2,0.643,10_classes_b
100,yolov8m,3,0.566,10_classes_b
100,yolov8m,4,0.741,10_classes_b
100,yolov8m,5,0.823,10_classes_b
100,yolov8l,1,0.863,10_classes_b
100,yolov8l,2,0.995,10_classes_b
100,yolov8l,3,0.972,10_classes_b
100,yolov8l,4,0.994,10_classes_b
100,yolov8l,5,0.995,10_classes_b
100,yolov8x,1,0.519,10_classes_b
100,yolov8x,2,0.711,10_classes_b
100,yolov8x,3,0.451,10_classes_b
100,yolov8x,4,0.751,10_classes_b
100,yolov8x,5,0.699,10_classes_b
250,yolov8n,1,0.809,10_classes_b
250,yolov8n,2,0.823,10_classes_b
250,yolov8n,3,0.849,10_classes_b
250,yolov8n,4,0.868,10_classes_b
250,yolov8n,5,0.793,10_classes_b
250,yolov8s,1,0.834,10_classes_b
250,yolov8s,2,0.869,10_classes_b
250,yolov8s,3,0.844,10_classes_b
250,yolov8s,4,0.922,10_classes_b
250,yolov8s,5,0.877,10_classes_b
250,yolov8m,1,0.951,10_classes_b
250,yolov8m,2,0.994,10_classes_b
250,yolov8m,3,0.995,10_classes_b
250,yolov8m,4,0.995,10_classes_b
250,yolov8m,5,0.994,10_classes_b
250,yolov8l,1,0.896,10_classes_b
250,yolov8l,2,0.932,10_classes_b
250,yolov8l,3,0.94,10_classes_b
250,yolov8l,4,0.942,10_classes_b
250,yolov8l,5,0.926,10_classes_b
250,yolov8x,1,0.939,10_classes_b
250,yolov8x,2,0.995,10_classes_b
250,yolov8x,3,0.995,10_classes_b
250,yolov8x,4,0.995,10_classes_b
250,yolov8x,5,0.994,10_classes_b
500,yolov8n,1,0.969,10_classes_b
500,yolov8n,2,0.992,10_classes_b
500,yolov8n,3,0.994,10_classes_b
500,yolov8n,4,0.994,10_classes_b
500,yolov8n,5,0.987,10_classes_b
500,yolov8s,1,0.976,10_classes_b
500,yolov8s,2,0.995,10_classes_b
500,yolov8s,3,0.994,10_classes_b
500,yolov8s,4,0.995,10_classes_b
500,yolov8s,5,0.995,10_classes_b
500,yolov8m,1,0.96,10_classes_b
500,yolov8m,2,0.974,10_classes_b
500,yolov8m,3,0.979,10_classes_b
500,yolov8m,4,0.973,10_classes_b
500,yolov8m,5,0.979,10_classes_b
500,yolov8l,1,0.887,10_classes_b
500,yolov8l,2,0.893,10_classes_b
500,yolov8l,3,0.956,10_classes_b
500,yolov8l,4,0.941,10_classes_b
500,yolov8l,5,0.917,10_classes_b
500,yolov8x,1,0.963,10_classes_b
500,yolov8x,2,0.949,10_classes_b
500,yolov8x,3,0.975,10_classes_b
500,yolov8x,4,0.965,10_classes_b
500,yolov8x,5,0.966,10_classes_b
750,yolov8n,1,0.971,10_classes_b
750,yolov8n,2,0.983,10_classes_b
750,yolov8n,3,0.985,10_classes_b
750,yolov8n,4,0.959,10_classes_b
750,yolov8n,5,0.985,10_classes_b
750,yolov8s,1,0.985,10_classes_b
750,yolov8s,2,0.985,10_classes_b
750,yolov8s,3,0.984,10_classes_b
750,yolov8s,4,0.991,10_classes_b
750,yolov8s,5,0.98,10_classes_b
750,yolov8m,1,0.976,10_classes_b
750,yolov8m,2,0.983,10_classes_b
750,yolov8m,3,0.976,10_classes_b
750,yolov8m,4,0.988,10_classes_b
750,yolov8m,5,0.968,10_classes_b
750,yolov8l,1,0.949,10_classes_b
750,yolov8l,2,0.957,10_classes_b
750,yolov8l,3,0.934,10_classes_b
750,yolov8l,4,0.951,10_classes_b
750,yolov8l,5,0.935,10_classes_b
750,yolov8x,1,0.975,10_classes_b
750,yolov8x,2,0.982,10_classes_b
750,yolov8x,3,0.976,10_classes_b
750,yolov8x,4,0.978,10_classes_b
750,yolov8x,5,0.963,10_classes_b
1000,yolov8n,1,0.983,10_classes_b
1000,yolov8n,2,0.993,10_classes_b
1000,yolov8n,3,0.995,10_classes_b
1000,yolov8n,4,0.994,10_classes_b
1000,yolov8n,5,0.995,10_classes_b
1000,yolov8s,1,0.983,10_classes_b
1000,yolov8s,2,0.968,10_classes_b
1000,yolov8s,3,0.991,10_classes_b
1000,yolov8s,4,0.994,10_classes_b
1000,yolov8s,5,0.995,10_classes_b
1000,yolov8m,1,0.99,10_classes_b
1000,yolov8m,2,0.995,10_classes_b
1000,yolov8m,3,0.995,10_classes_b
1000,yolov8m,4,0.994,10_classes_b
1000,yolov8m,5,0.995,10_classes_b
1000,yolov8l,1,0.989,10_classes_b
1000,yolov8l,2,0.995,10_classes_b
1000,yolov8l,3,0.995,10_classes_b
1000,yolov8l,4,0.995,10_classes_b
1000,yolov8l,5,0.994,10_classes_b
1000,yolov8x,1,0.989,10_classes_b
1000,yolov8x,2,0.995,10_classes_b
1000,yolov8x,3,0.995,10_classes_b
1000,yolov8x,4,0.995,10_classes_b
1000,yolov8x,5,0.995,10_classes_b
