number_of_images,model,fold,mAP,folder
750,yolov8l,3,0.995,14_classes
750,yolov8l,4,0.995,14_classes
750,yolov8l,5,0.995,14_classes
750,yolov8x,1,0.989,14_classes
750,yolov8x,2,0.995,14_classes
750,yolov8x,3,0.994,14_classes
750,yolov8x,4,0.995,14_classes
750,yolov8x,5,0.995,14_classes
1000,yolov8n,1,0.983,14_classes
1000,yolov8n,2,0.993,14_classes
1000,yolov8n,3,0.993,14_classes
1000,yolov8n,4,0.994,14_classes
1000,yolov8n,5,0.995,14_classes
1000,yolov8s,1,0.99,14_classes
1000,yolov8s,2,0.989,14_classes
1000,yolov8s,3,0.989,14_classes
1000,yolov8s,4,0.989,14_classes
1000,yolov8s,5,0.993,14_classes
1000,yolov8m,1,0.972,14_classes
1000,yolov8m,2,0.969,14_classes
1000,yolov8m,3,0.968,14_classes
1000,yolov8m,4,0.962,14_classes
1000,yolov8m,5,0.977,14_classes
1000,yolov8l,1,0.989,14_classes
1000,yolov8l,2,0.989,14_classes
1000,yolov8l,3,0.991,14_classes
1000,yolov8l,4,0.992,14_classes
1000,yolov8l,5,0.993,14_classes
1000,yolov8x,1,0.989,14_classes
1000,yolov8x,2,0.991,14_classes
1000,yolov8x,3,0.991,14_classes
1000,yolov8x,4,0.99,14_classes
1000,yolov8x,5,0.993,14_classes
10,yolov8n,1,0.602,5_classes_a
10,yolov8n,2,0.409,5_classes_a
10,yolov8n,3,0.68,5_classes_a
10,yolov8n,4,0.782,5_classes_a
10,yolov8n,5,0.965,5_classes_a
10,yolov8s,1,0.543,5_classes_a
10,yolov8s,2,0.962,5_classes_a
10,yolov8s,3,0.995,5_classes_a
10,yolov8s,4,0.935,5_classes_a
10,yolov8s,5,0.985,5_classes_a
10,yolov8m,1,0.53,5_classes_a
10,yolov8m,2,0.863,5_classes_a
10,yolov8m,3,0.929,5_classes_a
10,yolov8m,4,0.924,5_classes_a
10,yolov8m,5,0.995,5_classes_a
10,yolov8l,1,0.453,5_classes_a
10,yolov8l,2,0.426,5_classes_a
10,yolov8l,3,0.517,5_classes_a
10,yolov8l,4,0.498,5_classes_a
10,yolov8l,5,0.773,5_classes_a
10,yolov8x,1,0.401,5_classes_a
10,yolov8x,2,0.457,5_classes_a
10,yolov8x,3,0.504,5_classes_a
10,yolov8x,4,0.611,5_classes_a
10,yolov8x,5,0.809,5_classes_a
20,yolov8n,1,0.815,5_classes_a
20,yolov8n,2,0.873,5_classes_a
20,yolov8n,3,0.951,5_classes_a
20,yolov8n,4,0.891,5_classes_a
20,yolov8n,5,0.817,5_classes_a
20,yolov8s,1,0.882,5_classes_a
20,yolov8s,2,0.958,5_classes_a
20,yolov8s,3,0.962,5_classes_a
20,yolov8s,4,0.969,5_classes_a
20,yolov8s,5,0.945,5_classes_a
20,yolov8m,1,0.826,5_classes_a
20,yolov8m,2,0.919,5_classes_a
20,yolov8m,3,0.94,5_classes_a
20,yolov8m,4,0.912,5_classes_a
20,yolov8m,5,0.995,5_classes_a
20,yolov8l,1,0.649,5_classes_a
20,yolov8l,2,0.736,5_classes_a
20,yolov8l,3,0.877,5_classes_a
20,yolov8l,4,0.825,5_classes_a
20,yolov8l,5,0.784,5_classes_a
20,yolov8x,1,0.59,5_classes_a
20,yolov8x,2,0.624,5_classes_a
20,yolov8x,3,0.661,5_classes_a
20,yolov8x,4,0.59,5_classes_a
20,yolov8x,5,0.603,5_classes_a
50,yolov8n,1,0.709,5_classes_a
50,yolov8n,2,0.669,5_classes_a
50,yolov8n,3,0.853,5_classes_a
50,yolov8n,4,0.796,5_classes_a
50,yolov8n,5,0.825,5_classes_a
50,yolov8s,1,0.884,5_classes_a
50,yolov8s,2,0.763,5_classes_a
50,yolov8s,3,0.834,5_classes_a
50,yolov8s,4,0.804,5_classes_a
50,yolov8s,5,0.904,5_classes_a
50,yolov8m,1,0.792,5_classes_a
50,yolov8m,2,0.7,5_classes_a
50,yolov8m,3,0.773,5_classes_a
50,yolov8m,4,0.739,5_classes_a
50,yolov8m,5,0.909,5_classes_a
50,yolov8l,1,0.238,5_classes_a
50,yolov8l,2,0.396,5_classes_a
50,yolov8l,3,0.586,5_classes_a
50,yolov8l,4,0.729,5_classes_a
50,yolov8l,5,0.736,5_classes_a
50,yolov8x,1,0.6,5_classes_a
50,yolov8x,2,0.397,5_classes_a
50,yolov8x,3,0.58,5_classes_a
50,yolov8x,4,0.473,5_classes_a
50,yolov8x,5,0.436,5_classes_a
100,yolov8n,1,0.785,5_classes_a
100,yolov8n,2,0.828,5_classes_a
100,yolov8n,3,0.882,5_classes_a
100,yolov8n,4,0.844,5_classes_a
100,yolov8n,5,0.885,5_classes_a
100,yolov8s,1,0.842,5_classes_a
100,yolov8s,2,0.9,5_classes_a
100,yolov8s,3,0.916,5_classes_a
100,yolov8s,4,0.908,5_classes_a
100,yolov8s,5,0.932,5_classes_a
100,yolov8m,1,0.728,5_classes_a
100,yolov8m,2,0.8,5_classes_a
100,yolov8m,3,0.706,5_classes_a
100,yolov8m,4,0.85,5_classes_a
100,yolov8m,5,0.822,5_classes_a
100,yolov8l,1,0.664,5_classes_a
100,yolov8l,2,0.63,5_classes_a
100,yolov8l,3,0.63,5_classes_a
100,yolov8l,4,0.648,5_classes_a
100,yolov8l,5,0.653,5_classes_a
100,yolov8x,1,0.466,5_classes_a
100,yolov8x,2,0.467,5_classes_a
100,yolov8x,3,0.532,5_classes_a
100,yolov8x,4,0.43,5_classes_a
100,yolov8x,5,0.317,5_classes_a
250,yolov8n,1,0.962,5_classes_a
250,yolov8n,2,0.988,5_classes_a
250,yolov8n,3,0.995,5_classes_a
250,yolov8n,4,0.995,5_classes_a
250,yolov8n,5,0.995,5_classes_a
250,yolov8s,1,0.96,5_classes_a
250,yolov8s,2,0.995,5_classes_a
250,yolov8s,3,0.995,5_classes_a
250,yolov8s,4,0.995,5_classes_a
250,yolov8s,5,0.994,5_classes_a
250,yolov8m,1,0.944,5_classes_a
250,yolov8m,2,0.985,5_classes_a
250,yolov8m,3,0.99,5_classes_a
250,yolov8m,4,0.993,5_classes_a
250,yolov8m,5,0.988,5_classes_a
250,yolov8l,1,0.895,5_classes_a
250,yolov8l,2,0.973,5_classes_a
250,yolov8l,3,0.981,5_classes_a
250,yolov8l,4,0.987,5_classes_a
250,yolov8l,5,0.986,5_classes_a
