number_of_images,model,fold,class,mAP,augmented,keep
500,yolov8l,5,all,0.972,No,Yes
500,yolov8x,1,all,0.899,No,Yes
500,yolov8x,2,all,0.89,No,Yes
500,yolov8x,3,all,0.915,No,Yes
500,yolov8x,4,all,0.93,No,Yes
500,yolov8x,5,all,0.881,No,Yes
750,yolov8n,1,all,0.958,No,Yes
750,yolov8n,2,all,0.987,No,Yes
750,yolov8n,3,all,0.985,No,Yes
750,yolov8n,4,all,0.98,No,Yes
750,yolov8n,5,all,0.983,No,Yes
750,yolov8s,1,all,0.98,No,Yes
750,yolov8s,2,all,0.981,No,Yes
750,yolov8s,3,all,0.972,No,Yes
750,yolov8s,4,all,0.984,No,Yes
750,yolov8s,5,all,0.99,No,Yes
750,yolov8m,1,all,0.945,No,Yes
750,yolov8m,2,all,0.951,No,Yes
750,yolov8m,3,all,0.981,No,Yes
750,yolov8m,4,all,0.995,No,Yes
750,yolov8m,5,all,0.995,No,Yes
750,yolov8l,1,all,0.984,No,Yes
750,yolov8l,2,all,0.995,No,Yes
750,yolov8l,3,all,0.994,No,Yes
750,yolov8l,4,all,0.995,No,Yes
750,yolov8l,5,all,0.995,No,Yes
750,yolov8x,1,all,0.983,No,Yes
750,yolov8x,2,all,0.995,No,Yes
750,yolov8x,3,all,0.994,No,Yes
750,yolov8x,4,all,0.993,No,Yes
750,yolov8x,5,all,0.995,No,Yes
1000,yolov8n,1,all,0.977,No,Yes
1000,yolov8n,2,all,0.977,No,Yes
1000,yolov8n,3,all,0.983,No,Yes
1000,yolov8n,4,all,0.976,No,Yes
1000,yolov8n,5,all,0.982,No,Yes
1000,yolov8s,1,all,0.987,No,Yes
1000,yolov8s,2,all,0.995,No,Yes
1000,yolov8s,3,all,0.994,No,Yes
1000,yolov8s,4,all,0.995,No,Yes
1000,yolov8s,5,all,0.995,No,Yes
1000,yolov8m,1,all,0.989,No,Yes
1000,yolov8m,2,all,0.995,No,Yes
1000,yolov8m,3,all,0.995,No,Yes
1000,yolov8m,4,all,0.995,No,Yes
1000,yolov8m,5,all,0.995,No,Yes
1000,yolov8l,1,all,0.988,No,Yes
1000,yolov8l,2,all,0.994,No,Yes
1000,yolov8l,3,all,0.994,No,Yes
1000,yolov8l,4,all,0.995,No,Yes
1000,yolov8l,5,all,0.995,No,Yes
1000,yolov8x,1,all,0.989,No,Yes
1000,yolov8x,2,all,0.995,No,Yes
1000,yolov8x,3,all,0.994,No,Yes
1000,yolov8x,4,all,0.995,No,Yes
1000,yolov8x,5,all,0.995,No,Yes
10,yolov8n,1,all,0.194,Yes,No
10,yolov8n,2,all,0.61,Yes,No
10,yolov8n,3,all,0.758,Yes,No
10,yolov8n,4,all,0.76,Yes,No
10,yolov8n,5,all,0.72,Yes,No
10,yolov8s,1,all,0.246,Yes,No
10,yolov8s,2,all,0.67,Yes,No
10,yolov8s,3,all,0.821,Yes,No
10,yolov8s,4,all,0.828,Yes,No
10,yolov8s,5,all,0.813,Yes,No
10,yolov8m,1,all,0.357,Yes,No
10,yolov8m,2,all,0.641,Yes,No
10,yolov8m,3,all,0.862,Yes,No
10,yolov8m,4,all,0.879,Yes,No
10,yolov8m,5,all,0.765,Yes,No
10,yolov8l,1,all,0.233,Yes,No
10,yolov8l,2,all,0.37,Yes,No
10,yolov8l,3,all,0.563,Yes,No
10,yolov8l,4,all,0.634,Yes,No
10,yolov8l,5,all,0.551,Yes,No
10,yolov8x,1,all,0.231,Yes,No
10,yolov8x,2,all,0.477,Yes,No
10,yolov8x,3,all,0.692,Yes,No
10,yolov8x,4,all,0.771,Yes,No
10,yolov8x,5,all,0.652,Yes,No
20,yolov8n,1,all,0.372,Yes,No
20,yolov8n,2,all,0.544,Yes,No
20,yolov8n,3,all,0.674,Yes,No
20,yolov8n,4,all,0.698,Yes,No
20,yolov8n,5,all,0.69,Yes,No
20,yolov8s,1,all,0.394,Yes,No
20,yolov8s,2,all,0.806,Yes,No
20,yolov8s,3,all,0.915,Yes,No
20,yolov8s,4,all,0.901,Yes,No
20,yolov8s,5,all,0.888,Yes,No
20,yolov8m,1,all,0.442,Yes,No
20,yolov8m,2,all,0.725,Yes,No
20,yolov8m,3,all,0.899,Yes,No
20,yolov8m,4,all,0.864,Yes,No
20,yolov8m,5,all,0.881,Yes,No
20,yolov8l,1,all,0.34,Yes,No
20,yolov8l,2,all,0.508,Yes,No
20,yolov8l,3,all,0.61,Yes,No
20,yolov8l,4,all,0.71,Yes,No
20,yolov8l,5,all,0.642,Yes,No
20,yolov8x,1,all,0.355,Yes,No
20,yolov8x,2,all,0.318,Yes,No
20,yolov8x,3,all,0.546,Yes,No
20,yolov8x,4,all,0.688,Yes,No
20,yolov8x,5,all,0.678,Yes,No
50,yolov8n,1,all,0.451,Yes,No
50,yolov8n,2,all,0.505,Yes,No
50,yolov8n,3,all,0.51,Yes,No
50,yolov8n,4,all,0.482,Yes,No
50,yolov8n,5,all,0.535,Yes,No
50,yolov8s,1,all,0.514,Yes,No
50,yolov8s,2,all,0.712,Yes,No
50,yolov8s,3,all,0.704,Yes,No
50,yolov8s,4,all,0.751,Yes,No
50,yolov8s,5,all,0.764,Yes,No
50,yolov8m,1,all,0.484,Yes,No
50,yolov8m,2,all,0.574,Yes,No
50,yolov8m,3,all,0.601,Yes,No
50,yolov8m,4,all,0.638,Yes,No
50,yolov8m,5,all,0.669,Yes,No
50,yolov8l,1,all,0.406,Yes,No
50,yolov8l,2,all,0.385,Yes,No
50,yolov8l,3,all,0.453,Yes,No
50,yolov8l,4,all,0.47,Yes,No
50,yolov8l,5,all,0.528,Yes,No
50,yolov8x,1,all,0.405,Yes,No
50,yolov8x,2,all,0.41,Yes,No
50,yolov8x,3,all,0.517,Yes,No
50,yolov8x,4,all,0.574,Yes,No
50,yolov8x,5,all,0.504,Yes,No
100,yolov8n,1,all,0.777,Yes,No
100,yolov8n,2,all,0.991,Yes,No
100,yolov8n,3,all,0.985,Yes,No
100,yolov8n,4,all,0.982,Yes,No
100,yolov8n,5,all,0.993,Yes,No
100,yolov8s,1,all,0.787,Yes,No
100,yolov8s,2,all,0.985,Yes,No
100,yolov8s,3,all,0.986,Yes,No
100,yolov8s,4,all,0.981,Yes,No
100,yolov8s,5,all,0.987,Yes,No
100,yolov8m,1,all,0.703,Yes,No
100,yolov8m,2,all,0.845,Yes,No
100,yolov8m,3,all,0.922,Yes,No
100,yolov8m,4,all,0.944,Yes,No
100,yolov8m,5,all,0.937,Yes,No
100,yolov8l,1,all,0.381,Yes,No
100,yolov8l,2,all,0.452,Yes,No
100,yolov8l,3,all,0.479,Yes,No
100,yolov8l,4,all,0.56,Yes,No
100,yolov8l,5,all,0.574,Yes,No
100,yolov8x,1,all,0.778,Yes,No
100,yolov8x,2,all,0.978,Yes,No
100,yolov8x,3,all,0.959,Yes,No
100,yolov8x,4,all,0.976,Yes,No
100,yolov8x,5,all,0.988,Yes,No
10,yolov8n,1,all,0.243,Yes,Yes
10,yolov8n,2,all,0.42,Yes,Yes
10,yolov8n,3,all,0.914,Yes,Yes
10,yolov8n,4,all,0.944,Yes,Yes
10,yolov8n,5,all,0.995,Yes,Yes
10,yolov8s,1,all,0.452,Yes,Yes
10,yolov8s,2,all,0.813,Yes,Yes
10,yolov8s,3,all,0.97,Yes,Yes
10,yolov8s,4,all,0.962,Yes,Yes
10,yolov8s,5,all,0.983,Yes,Yes
10,yolov8m,1,all,0.372,Yes,Yes
10,yolov8m,2,all,0.642,Yes,Yes
10,yolov8m,3,all,0.955,Yes,Yes
10,yolov8m,4,all,0.885,Yes,Yes
10,yolov8m,5,all,0.995,Yes,Yes
10,yolov8l,1,all,0.364,Yes,Yes
