timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2024-06-06T14:59:57,codecarbon,b11bf54b-8f19-4f6e-ac35-b3daf9e35971,84900.16254425049,0.0174762284900287,2.0584446444281002e-07,42.5,74.467,93.87997627258302,1.0046921285056412,4.126477606637485,2.2203746979563563,7.351544433099462,Canada,CAN,quebec,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,-71.2,46.8,250.3466033935547,machine,N
2024-06-08T18:48:54,codecarbon,567243ba-d26e-46a6-8dcc-3715ba7bfc1f,180977.34904837608,9.604295901882285,5.3069049537878976e-05,42.5,65.869,93.87997627258302,2.137702941760081,11.222187683363687,4.718886105629139,18.0787767307529,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.3466033935547,machine,N
2024-06-12T13:21:55,codecarbon,46226356-ce93-4bb8-82bb-ace06e7bcd8f,176193.3469531536,9.468253158613084,5.3737858564719296e-05,42.5,47.223,93.87997627258302,2.079945002184467,11.152051394986156,4.590698429554118,17.82269482672483,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.3466033935547,machine,N
